Description,,Summary Amt.,
1/14/2025,QT 771 01/13 PURCHASE GAINESVILLE GA,-4.59,151.55
1/14/2025,MEDLINK PHARMACY 01/13 PURCHASE COMMERCE GA,-40,111.55
1/14/2025,CHEVRON FOOD M 01/14 PURCHASE GAINSVILLE GA,-5.87,105.68
1/14/2025,TRACTOR SUPPLY 01/14 PURCHASE GAINESVILLE GA,-44.98,60.7
1/14/2025,TRACTOR SUPPLY 01/14 PURCHASE GAINESVILLE GA,-25.67,35.03
1/15/2025,Transfer DAILY PAY,96.51,131.54
1/15/2025,OAKWOOD PACKAGE S 01/13 PURCHASE FLOWERY BRANC GA,-11.97,119.57
1/15/2025,BP#7698079ANDYS B 01/14 PURCHASE GAINESVILLE GA,-11.76,107.81
1/15/2025,TRACTOR SUPPLY 01/15 PURCHASE GAINESVILLE GA,-1.75,106.06
1/15/2025,BP#8136079CLIP 01/15 PURCHASE GAINESVILLE GA,-30,76.06
1/16/2025,Transfer DAILY PAY,101.51,177.57
1/16/2025,BP#7698079ANDYS B 01/15 PURCHASE GAINESVILLE GA,-11.76,165.81
1/16/2025,BKOFAMERICA ATM 01/16 #XXXXX6728 WITHDRWL WINDER MAIN WINDERA GA,-60,105.81
1/17/2025,Transfer DAILY PAY,38.83,144.64
1/17/2025,ACEABLE* 24/7 ROA 01/16 PURCHASE XXXXX23504 TX,-5,139.64
1/17/2025,TST*FRIENDS WINDE 01/16 PURCHASE Winder GA,-79.9,59.74
1/17/2025,SHELL FOOD MART 01/16 PURCHASE WINDER GA,-17.63,42.11
1/17/2025,TRACTOR SUPPLY 01/17 PURCHASE GAINESVILLE GA,-1.75,40.36
1/21/2025,Transfer DAILY PAY,231.51,271.87
1/21/2025,Transfer DAILY PAY,111.57,383.44
1/21/2025,QT 847 01/17 PURCHASE GAINESVILLE GA,-3.31,380.13
1/21/2025,MCDONALD'S F5672 01/17 PURCHASE GAINESVILLE GA,-11.11,369.02
1/21/2025,OAKWOOD PACKAGE S 01/17 PURCHASE FLOWERY BRANC GA,-11.97,357.05
1/21/2025,JACKS PUBLIC HOUS 01/18 PURCHASE BRASELTON GA,-29.31,327.74
1/21/2025,BP#8136079CLIP 01/18 PURCHASE GAINESVILLE GA,-37.6,290.14
1/21/2025,TRACTOR SUPPLY 01/19 PURCHASE GAINESVILLE GA,-1.75,288.39
1/21/2025,DOLLAR GENERAL 01/19 PURCHASE LULA GA,-6.81,281.58
1/21/2025,TRACTOR SUPPLY 01/20 PURCHASE GAINESVILLE GA,-1.75,279.83
1/21/2025,BP#7698079ANDYS B 01/20 PURCHASE GAINESVILLE GA,-20.32,259.51
1/22/2025,VZWRLSS*BILL PAY 01/20 PURCHASE XXXXX20204 CA,-213.9,45.61
1/23/2025,Transfer DAILY PAY,164.6,210.21
1/23/2025,EAST HALL FOOD MA 01/22 PURCHASE GAINESVILLE GA,-24.52,185.69
1/24/2025,DAILYPAY DES:TRACTOR SU ID:17887747 INDN:TIMOTHY LUBBESS CO ID:XXXXX35714 PPD,658.31,844
1/24/2025,Transfer DAILY PAY,121.51,965.51
1/24/2025,BP#7698079ANDYS B 01/23 PURCHASE GAINESVILLE GA,-11.76,953.75
1/24/2025,Zelle payment to Kids iPhone Conf# w9t04ed2f,-600,353.75
1/24/2025,TRACTOR SUPPLY 01/24 PURCHASE GAINESVILLE GA,-1.75,352
1/24/2025,WAL-MART #3627 01/24 PURCHASE OAKWOOD GA,-66.9,285.1
1/24/2025,WM SUPERCENTER 01/24 PURCHASE OAKWOOD GA,-22.88,262.22
1/24/2025,BP#8136079CLIP 01/24 PURCHASE GAINESVILLE GA,-35,227.22
1/27/2025,Transfer DAILY PAY,261.51,488.73
1/27/2025,Transfer DAILY PAY,175.29,664.02
1/27/2025,PROGRESSIVE *INSU 01/23 PURCHASE XXXXX64737 OH,-161.04,502.98
1/27/2025,TRACTOR SUPPLY 01/25 PURCHASE GAINESVILLE GA,-1.75,501.23
1/27/2025,TRACTOR SUPPLY 01/25 PURCHASE GAINESVILLE GA,-13.59,487.64
1/27/2025,CHEVRON FOOD M 01/26 PURCHASE GAINSVILLE GA,-5.87,481.77
1/27/2025,KFC D241018 01/26 PURCHASE OAKWOOD GA,-13.79,467.98
1/27/2025,TRACTOR SUPPLY 01/26 PURCHASE GAINESVILLE GA,-1.75,466.23
1/27/2025,BP#7698079ANDYS B 01/26 PURCHASE GAINESVILLE GA,-11.76,454.47
1/27/2025,QT 771 INSIDE 01/27 PURCHASE GAINESVILLE GA,-10.35,444.12
1/27/2025,TRACTOR SUPPLY 01/27 PURCHASE GAINESVILLE GA,-1.75,442.37
1/27/2025,TRACTOR SUPPLY 01/27 PURCHASE GAINESVILLE GA,-2.18,440.19
1/27/2025,Zelle payment to Kids iPhone Conf# talbfrkux,-150,290.19
1/27/2025,TRACTOR SUPPLY 01/27 PURCHASE GAINESVILLE GA,-24.7,265.49
1/27/2025,Zelle payment to Kids iPhone Conf# ymualyqu9,-150,115.49
1/28/2025,Zelle Transfer Conf# htw116ntg; Allstate Insurance,"1,200.00","1,315.49"
1/28/2025,BP#7698079ANDYS B 01/27 PURCHASE GAINESVILLE GA,-20.32,"1,295.17"
1/28/2025,NNT GA DRIVER 01/28 PURCHASE GAINESVILLE GA,-32,"1,263.17"
1/28/2025,Zelle payment to Kids iPhone Conf# vott3es78,-300,963.17
1/29/2025,BP#8136079CLIPPER 01/28 PURCHASE GAINESVILLE GA,-10.4,952.77
1/29/2025,EAST HALL FOOD MA 01/28 PURCHASE GAINESVILLE GA,-18.18,934.59
1/29/2025,Zelle payment to Carson Conf# t7c35f5hh,-700,234.59
1/29/2025,TRACTOR SUPPLY 01/29 PURCHASE GAINESVILLE GA,-1.75,232.84
1/29/2025,DOLLAR GENERAL 01/29 PURCHASE GILLSVILLE GA,-17.46,215.38
1/30/2025,Transfer DAILY PAY,99.08,314.46
1/30/2025,CHEVRON 0053492 01/29 PURCHASE GAINESVILLE GA,-32.1,282.36
1/30/2025,ENTERPRISE RENT-A 01/29 PURCHASE OAKWOOD GA,-123.21,159.15
1/30/2025,ORACL*WAFFLE HOUS 01/29 PURCHASE Gainesville GA,-17,142.15
1/30/2025,Amazon Prime*ZC9B 01/29 PURCHASE XXXXX04331 WA,-16.04,126.11
1/30/2025,BP#7698079ANDYS B 01/29 PURCHASE GAINESVILLE GA,-11.76,114.35
1/30/2025,TRACTOR SUPPLY 01/30 PURCHASE GAINESVILLE GA,-1.75,112.6
1/30/2025,TRACTOR SUPPLY 01/30 PURCHASE GAINESVILLE GA,-17.46,95.14
1/31/2025,Transfer DAILY PAY,96.51,191.65
1/31/2025,TRACTOR SUPPLY 01/31 REFUND GAINESVILLE GA,17.46,209.11
1/31/2025,BP#7698079ANDYS B 01/30 PURCHASE GAINESVILLE GA,-11.76,197.35
1/31/2025,TRACTOR SUPPLY 01/31 PURCHASE GAINESVILLE GA,-1.75,195.6
1/31/2025,TRACTOR SUPPLY 01/31 PURCHASE GAINESVILLE GA,-2.18,193.42
1/31/2025,DOLLAR GENERAL 01/31 PURCHASE GILLSVILLE GA,-19.06,174.36
2/3/2025,Transfer DAILY PAY,131.35,305.71
2/3/2025,ZAXBY'S #68401 01/30 PURCHASE GAINESVILLE GA,-25.69,280.02
2/3/2025,QT 847 01/31 PURCHASE GAINESVILLE GA,-7.82,272.2
2/3/2025,BP#7698079ANDYS B 01/31 PURCHASE GAINESVILLE GA,-6.31,265.89
2/3/2025,OAKWOOD PACKAGE S 01/31 PURCHASE FLOWERY BRANC GA,-11.97,253.92
2/3/2025,CVS/PHARMACY #007 01/31 PURCHASE OAKWOOD GA,-34.01,219.91
2/3/2025,SUNOCO XXXXX14300 01/31 PURCHASE GILLSVILLE GA,-25.66,194.25
2/3/2025,TRACTOR SUPPLY 02/01 PURCHASE GAINESVILLE GA,-1.75,192.5
2/3/2025,KROGER #682 02/01 PURCHASE GAINESVILLE GA,-31.59,160.91
2/3/2025,MCDONALD'S F5672 02/02 PURCHASE GAINESVILLE GA,-14.85,146.06
2/3/2025,BP#7698079ANDYS B 02/02 PURCHASE GAINESVILLE GA,-11.76,134.3
2/3/2025,TRACTOR SUPPLY 02/03 PURCHASE GAINESVILLE GA,-1.75,132.55
2/3/2025,TRACTOR SUPPLY 02/03 PURCHASE GAINESVILLE GA,-44.51,88.04
2/4/2025,Transfer DAILY PAY,101.51,189.55
2/4/2025,BP#8136079CLIPPER 02/03 PURCHASE GAINESVILLE GA,-2.34,187.21
2/4/2025,BP#8136079CLIPPER 02/03 PURCHASE GAINESVILLE GA,-6.67,180.54
2/4/2025,TRACTOR SUPPLY 02/04 PURCHASE GAINESVILLE GA,-5.23,175.31
2/5/2025,Transfer DAILY PAY,200.66,375.97
2/5/2025,OAKWOOD PACKAGE S 02/03 PURCHASE FLOWERY BRANC GA,-11.97,364
2/5/2025,BP#8136079CLIPPER 02/04 PURCHASE GAINESVILLE GA,-2.34,361.66
2/5/2025,KROGER #682 02/04 PURCHASE GAINESVILLE GA,-134.7,226.96
2/5/2025,TRACTOR SUPPLY 02/05 PURCHASE GAINESVILLE GA,-1.75,225.21
2/5/2025,Peacock TV LLC 02/05 PURCHASE New York City NY,-6,219.21
2/5/2025,Peacock TV LLC 02/05 PURCHASE New York City NY,-7.99,211.22
2/5/2025,BP#7698079ANDY 02/05 PURCHASE GAINESVILLE GA,-20,191.22
2/6/2025,Transfer DAILY PAY,97.54,288.76
2/6/2025,ENTERPRISE RENT-A 02/05 PURCHASE XXXXX09505 GA,-149.73,139.03
2/6/2025,BP#7698079ANDYS B 02/05 PURCHASE GAINESVILLE GA,-11.76,127.27
2/6/2025,TRACTOR SUPPLY 02/06 PURCHASE GAINESVILLE GA,-1.75,125.52
2/6/2025,TRACTOR SUPPLY 02/06 PURCHASE GAINESVILLE GA,-1.75,123.77
2/7/2025,DAILYPAY DES:TRACTOR SU ID:17887747 INDN:TIMOTHY LUBBESS CO ID:XXXXX35714 PPD,273.07,396.84
2/7/2025,Transfer DAILY PAY,171.51,568.35
2/7/2025,Transfer DAILY PAY,98.35,666.7
2/7/2025,BP#8136079CLIPPER 02/06 PURCHASE GAINESVILLE GA,-2.34,664.36
2/7/2025,ALDI 76037 02/06 PURCHASE GAINESVILLE GA,-3.04,661.32
2/7/2025,BP#7698079ANDYS B 02/06 PURCHASE GAINESVILLE GA,-18.07,643.25
2/7/2025,Zelle payment to Carson Conf# v9ln2r8bs,-300,343.25
2/7/2025,TRACTOR SUPPLY 02/07 PURCHASE GAINESVILLE GA,-7.19,336.06
2/7/2025,TRACTOR SUPPLY 02/07 PURCHASE GAINESVILLE GA,-3.5,332.56
2/7/2025,WM SUPERCENTER 02/07 PURCHASE OAKWOOD GA,-22.93,309.63
2/7/2025,"Zelle payment to Michelle for credit card payment""; Conf# ypevpr03n""",-100,209.63
2/7/2025,DOLLAR GENERAL 02/07 PURCHASE GILLSVILLE GA,-56.55,153.08
2/7/2025,Zelle payment to Michelle Conf# ycwn3ihze,-100,53.08
2/10/2025,Transfer DAILY PAY,155.35,208.43
2/10/2025,Transfer DAILY PAY,66.85,275.28
2/10/2025,BURGER KING #5920 02/06 PURCHASE OAKWOOD GA,-5.35,269.93
2/10/2025,QT 771 02/07 PURCHASE GAINESVILLE GA,-7.04,262.89
2/10/2025,TRACTOR SUPPLY 02/08 PURCHASE GAINESVILLE GA,-1.75,261.14
2/10/2025,TRACTOR SUPPLY 02/08 PURCHASE GAINESVILLE GA,-1.75,259.39
2/10/2025,BP#7698079ANDYS B 02/08 PURCHASE GAINESVILLE GA,-11.76,247.63
2/10/2025,TRACTOR SUPPLY 02/09 PURCHASE GAINESVILLE GA,-11.01,236.62
2/10/2025,WM SUPERCENTER 02/09 PURCHASE OAKWOOD GA,-66.21,170.41
2/10/2025,EAST HALL FOOD MA 02/09 PURCHASE GAINESVILLE GA,-24.71,145.7
2/10/2025,DOLLAR GENERAL 02/09 PURCHASE LULA GA,-6.44,139.26
2/10/2025,TRACTOR SUPPLY 02/10 PURCHASE GAINESVILLE GA,-1.75,137.51
2/10/2025,TRACTOR SUPPLY 02/10 PURCHASE GAINESVILLE GA,-13.13,124.38
2/10/2025,TRACTOR SUPPLY 02/10 PURCHASE GAINESVILLE GA,-1.75,122.63
2/10/2025,BP#8136079CLIP 02/10 PURCHASE GAINESVILLE GA,-20,102.63
2/11/2025,Zelle payment from CARSON LUBBESS Conf# 01YM205XE,100,202.63
2/11/2025,Transfer DAILY PAY,51.32,253.95
2/11/2025,CHIMNEY OAKS GOLF 02/09 PURCHASE HOMER GA,-6,247.95
2/11/2025,BP#8136079CLIPPER 02/10 PURCHASE GAINESVILLE GA,-2.34,245.61
2/11/2025,ENTERPRISE RENT-A 02/10 PURCHASE XXXXX09505 GA,-76.51,169.1
2/11/2025,TRACTOR SUPPLY 02/11 PURCHASE GAINESVILLE GA,-1.75,167.35
2/12/2025,OAKWOOD PACKAGE S 02/10 PURCHASE FLOWERY BRANC GA,-11.97,155.38
2/12/2025,MEDLINK PHARMACY 02/11 PURCHASE COMMERCE GA,-83.23,72.15
2/12/2025,GILLSVILLE CAFE 02/11 PURCHASE GILLSVILLE GA,-12.76,59.39
2/12/2025,BP#7698079ANDYS B 02/11 PURCHASE GAINESVILLE GA,-11.76,47.63
2/13/2025,Transfer DAILY PAY,111.51,159.14
2/13/2025,TRACTOR SUPPLY 02/13 PURCHASE GAINESVILLE GA,-4.38,154.76
2/13/2025,TRACTOR SUPPLY 02/13 PURCHASE GAINESVILLE GA,-1.75,153.01
2/13/2025,BP#8136079CLIP 02/13 PURCHASE GAINESVILLE GA,-20,133.01
2/14/2025,CHEVRON FOOD MART 02/13 PURCHASE GAINSVILLE GA,-5.87,127.14
2/14/2025,BP#7698079ANDYS B 02/13 PURCHASE GAINESVILLE GA,-11.76,115.38
2/14/2025,TRACTOR SUPPLY 02/14 PURCHASE GAINESVILLE GA,-1.75,113.63
2/18/2025,Transfer DAILY PAY,201.51,315.14
2/18/2025,Transfer DAILY PAY,201.51,516.65
2/18/2025,Transfer DAILY PAY,101.51,618.16
2/18/2025,Transfer DAILY PAY,101.51,719.67
2/18/2025,TACO BELL 030345 02/13 PURCHASE GAINESVILLE GA,-15.57,704.1
2/18/2025,DUNKIN #362911 02/14 PURCHASE GAINESVILLE GA,-28.87,675.23
2/18/2025,DUNKIN #362911 02/14 PURCHASE GAINESVILLE GA,-24.59,650.64
2/18/2025,BP#7698079ANDYS B 02/14 PURCHASE GAINESVILLE GA,-6.31,644.33
2/18/2025,QT 847 02/15 PURCHASE GAINESVILLE GA,-2.24,642.09
2/18/2025,TRACTOR SUPPLY 02/15 PURCHASE GAINESVILLE GA,-5.68,636.41
2/18/2025,AMERICAN DELI 108 02/15 PURCHASE OAKWOOD GA,-19.04,617.37
2/18/2025,OAKWOOD PACKAGE S 02/15 PURCHASE FLOWERY BRANC GA,-11.97,605.4
2/18/2025,SUNOCO XXXXX14300 02/15 PURCHASE GILLSVILLE GA,-25.66,579.74
2/18/2025,VZWRLSS*BILL PAY 02/16 PURCHASE XXXXX20204 FL,-213.88,365.86
2/18/2025,BP#8136079CLIPPER 02/16 PURCHASE GAINESVILLE GA,-2.34,363.52
2/18/2025,TRACTOR SUPPLY 02/16 PURCHASE GAINESVILLE GA,-24.37,339.15
2/18/2025,ACEABLE* 24/7 ROA 02/16 PURCHASE XXXXX23504 TX,-5,334.15
2/18/2025,DAIRY QUEEN #1424 02/16 PURCHASE GAINESVILLE GA,-16.44,317.71
2/18/2025,BP#7698079ANDYS B 02/16 PURCHASE GAINESVILLE GA,-11.76,305.95
2/18/2025,BP#7698079ANDYS B 02/17 PURCHASE GAINESVILLE GA,-2.93,303.02
2/18/2025,BP#7698079ANDYS B 02/17 PURCHASE GAINESVILLE GA,-17.39,285.63
2/19/2025,Zelle payment from CARSON LUBBESS Conf# 01YU82Y9P,700,985.63
2/20/2025,Transfer DAILY PAY,121.51,"1,107.14"
2/20/2025,Transfer DAILY PAY,61.51,"1,168.65"
2/20/2025,WHATABURGER 1458 02/18 PURCHASE FLOWERY BRANC GA,-23.07,"1,145.58"
2/20/2025,BP#8136079CLIPPER 02/19 PURCHASE GAINESVILLE GA,-9.01,"1,136.57"
2/20/2025,ENTERPRISE RENT-A 02/19 PURCHASE XXXXX09505 GA,-814.3,322.27
2/20/2025,ALDI 76037 02/19 PURCHASE GAINESVILLE GA,-30.69,291.58
2/20/2025,BP#7698079ANDYS B 02/19 PURCHASE GAINESVILLE GA,-11.76,279.82
2/20/2025,BKOFAMERICA ATM 02/20 #XXXXX2542 WITHDRWL WINDER MAIN WINDERA GA,-100,179.82
2/21/2025,DAILYPAY DES:TRACTOR SU ID:17887747 INDN:TIMOTHY LUBBESS CO ID:XXXXX35714 PPD,610.11,789.93
2/21/2025,BURGER KING #5920 02/19 PURCHASE OAKWOOD GA,-15.92,774.01
2/21/2025,TST*FRIENDS WINDE 02/20 PURCHASE Winder GA,-61.39,712.62
2/21/2025,TST*FRIENDS WINDE 02/20 PURCHASE Winder GA,-34.84,677.78
2/21/2025,Zelle payment to Kids iPhone Conf# ygt0a3dpv,-600,77.78
2/21/2025,WM SUPERCENTER 02/21 PURCHASE OAKWOOD GA,-14.72,63.06
2/24/2025,Transfer DAILY PAY,251.51,314.57
2/24/2025,Transfer DAILY PAY,101.51,416.08
2/24/2025,Transfer DAILY PAY,96.51,512.59
2/24/2025,QT 847 02/21 PURCHASE GAINESVILLE GA,-9.17,503.42
2/24/2025,DOLLAR GENERAL 02/22 PURCHASE GILLSVILLE GA,-17.46,485.96
2/24/2025,GILLSVILLE CAFE 02/22 PURCHASE GILLSVILLE GA,-23.26,462.7
2/24/2025,CHEVRON FOOD M 02/22 PURCHASE GAINSVILLE GA,-5.87,456.83
2/24/2025,BP#7698079ANDYS B 02/22 PURCHASE GAINESVILLE GA,-11.76,445.07
2/24/2025,MCDONALD'S F5672 02/23 PURCHASE GAINESVILLE GA,-14.42,430.65
2/24/2025,TRACTOR SUPPLY 02/23 PURCHASE GAINESVILLE GA,-2.05,428.6
2/24/2025,BP#7698079ANDYS B 02/23 PURCHASE GAINESVILLE GA,-20.32,408.28
2/25/2025,ENTERPRISE RENT-A 02/24 PURCHASE XXXXX09505 GA,-208.6,199.68
2/25/2025,KROGER #682 02/24 PURCHASE GAINESVILLE GA,-65.51,134.17
2/25/2025,TACO MAC 40 GAINS 02/24 PURCHASE GAINESVILLE GA,-36.27,97.9
2/25/2025,RABBITTOWN PACKAG 02/24 PURCHASE GAINESVILLE GA,-19.25,78.65
2/25/2025,SUNOCO XXXXX14300 02/24 PURCHASE GILLSVILLE GA,-25.66,52.99
2/27/2025,Transfer DAILY PAY,96.51,149.5
2/27/2025,CHEVRON 0053492 02/26 PURCHASE GAINESVILLE GA,-28,121.5
2/27/2025,CHEVRON FOOD MART 02/26 PURCHASE GAINSVILLE GA,-5.87,115.63
2/27/2025,TRACTOR SUPPLY 02/27 PURCHASE GAINESVILLE GA,-1.75,113.88
2/28/2025,RABBITTOWN PACKAG 02/27 PURCHASE GAINESVILLE GA,-11.22,102.66
2/28/2025,Prime Video *6L4V 02/27 PURCHASE XXXXX23080 WA,-3.79,98.87
2/28/2025,TRACTOR SUPPLY 02/28 PURCHASE GAINESVILLE GA,-2.18,96.69
2/28/2025,TRACTOR SUPPLY 02/28 PURCHASE GAINESVILLE GA,-1.75,94.94
3/3/2025,Transfer DAILY PAY,396.51,491.45
3/3/2025,Transfer DAILY PAY,196.51,687.96
3/3/2025,Transfer DAILY PAY,96.51,784.47
3/3/2025,ZAXBY'S #18801 02/27 PURCHASE OAKWOOD GA,-29.82,754.65
3/3/2025,QT 847 02/28 PURCHASE GAINESVILLE GA,-10.35,744.3
3/3/2025,SUPERMERCADO LA S 02/28 PURCHASE GAINESVILLE GA,-39.23,705.07
3/3/2025,ENTERPRISE RENT-A 03/01 PURCHASE XXXXX09505 GA,-156.46,548.61
3/3/2025,TRACTOR SUPPLY 03/01 PURCHASE GAINESVILLE GA,-13.63,534.98
3/3/2025,TRACTOR SUPPLY 03/01 PURCHASE GAINESVILLE GA,-5.41,529.57
3/3/2025,BP#7698079ANDYS B 03/01 PURCHASE GAINESVILLE GA,-11.76,517.81
3/3/2025,TRACTOR SUPPLY 03/02 PURCHASE GAINESVILLE GA,-1.75,516.06
3/3/2025,KFC D241018 03/02 PURCHASE OAKWOOD GA,-13.79,502.27
3/3/2025,BP#7698079ANDYS B 03/02 PURCHASE GAINESVILLE GA,-11.76,490.51
3/3/2025,Zelle payment to Kids iPhone Conf# s7qj4qyy3,-400,90.51
3/4/2025,ORACL*WAFFLE HOUS 03/03 PURCHASE Gainesville GA,-17.25,73.26
3/4/2025,MCDONALD'S F5672 03/03 PURCHASE GAINSEVILLE GA,-5.13,68.13
3/4/2025,EAST HALL FOOD MA 03/03 PURCHASE GAINESVILLE GA,-11.76,56.37
3/4/2025,AMAZON PRIME*JP6U 03/03 PURCHASE XXXXX04331 WA,-16.04,40.33
3/4/2025,TRACTOR SUPPLY 03/04 PURCHASE GAINESVILLE GA,-1.75,38.58
3/4/2025,BP#7698079ANDY 03/04 PURCHASE GAINESVILLE GA,-20,18.58
3/5/2025,Transfer DAILY PAY,96.51,115.09
3/5/2025,BP#7698079ANDYS B 03/04 PURCHASE GAINESVILLE GA,-13.35,101.74
3/5/2025,DOLLAR GENERAL 03/05 PURCHASE GILLSVILLE GA,-34.39,67.35
3/5/2025,Peacock TV LLC 03/05 PURCHASE New York City NY,-7.99,59.36
